title,filename,medium,dimensions,price,category,publishedAt,altText
Lake Shore Drive at Wilson,LSD_Wilson.jpg,Oil on Canvas,"24""h x 48""w",3400,sold,2016-05-31T01:34:33.000Z,Lake Shore Drive at Wilson
57th Street Art Fair Poster 2008,57th_Street_2008.jpg,,"17""h x 11""w",15,posters,2016-07-06T20:04:38.000Z,57th Street Art Fair Poster 2008
Old Town Art Fair Poster 2002,OTAF-2002.jpg,,"28""h x 18""w",20,posters,2016-07-06T20:06:42.000Z,Old Town Art Fair Poster 2002
Riverwalk Fine Art Fair 2010,Riverwalk2010.jpg,,"20""h x 16""w",20,posters,2016-07-06T20:08:01.000Z,Riverwalk Fine Art Fair 2010
Saint Louis Art Fair Poster 2001,SLAF_2001.jpg,,"28""h x 20""w",25,posters,2016-07-06T20:09:14.000Z,Saint Louis Art Fair Poster 2001
Twilight,Twilight.jpg,Oil on Canvas,"28""h x 32""w",,sold,2016-09-06T20:14:11.000Z,Twilight
Chicago Skyline Sunrise with Finley and the Plant,Chicago-Skyline.jpg,Oil on Canvas,"30""h x 42""w",,sold,2016-11-08T21:59:59.000Z,Chicago Skyline Sunrise with Finley and the Plant
Sunrise at Adams Street,Sunrise-at-Adams-Street.jpg,Oil on Canvas,"36""h x 30""w",2800,sold,2017-03-22T04:34:34.000Z,Sunrise at Adams Street
The Mall,The-Mall.sm_.jpg,Oil on Canvas,"44""h x 30""w",,sold,2017-08-12T22:39:27.000Z,The Mall - Oil on Canvas
Flight Path From Midway,Flight-Path-from-Midway.jpg,Oil on Canvas,"28""h x 42""w",,sold,2017-11-12T05:23:11.000Z,Flight Path From Midway
Belden Avenue Snowfall,Belden-Pic.11-2-17.jpg,Oil on Canvas,"26""h x 38""w",,sold,2017-12-05T00:33:59.000Z,Belden Avenue Snowfall
Weber Grill,Weber-Grill.sm_-1.jpg,Oil on Canvas,"30""h x 38""w",,sold,2018-04-25T21:55:29.000Z,Weber Grill - Oil on Canvas
Big Apple,Big-apple.sm_.jpg,Oil on Canvas,"24""h x 20""w",450,sold,2018-04-25T21:55:39.000Z,Big Apple
Moon Over the El Train,Moon-over-El.sm_.jpg,Oil on Canvas,"30""h x 38""w",,sold,2018-05-23T03:26:48.000Z,Moon Over the El Train
View From the Franklin St. Bridge,View-from-Franklin.jpg,Oil on Canvas,"42""h x 32""w",,sold,2018-05-23T03:27:01.000Z,View From the Franklin St. Bridge
Pumping Statin on the North Branch,Pumping-station-on-the-North-Branch.sm_.jpg,Oil on Canvas,"24""h x 30""w",,sold,2018-07-12T19:44:07.000Z,Pumping Statin on the North Branch
Storm Coming,Storm-coming.sm_.jpg,Oil on Canvas,,,sold,2018-07-12T19:46:55.000Z,Storm Coming
